a	ㄚ
ai	ㄞ
an	ㄢ
ang	ㄤ
ao	ㄠ
ba	ㄅㄚ
bai	ㄅㄞ
ban	ㄅㄢ
bang	ㄅㄤ
bao	ㄅㄠ
bei	ㄅㄟ
ben	ㄅㄣ
beng	ㄅㄥ
bi	ㄅㄧ
bian	ㄅㄧㄢ
biang	ㄅㄧㄤ
biao	ㄅㄧㄠ
bie	ㄅㄧㄝ
bin	ㄅㄧㄣ
bing	ㄅㄧㄥ
bo	ㄅㄛ
bu	ㄅㄨ
ca	ㄘㄚ
cai	ㄘㄞ
can	ㄘㄢ
cang	ㄘㄤ
cao	ㄘㄠ
ce	ㄘㄜ
cen	ㄘㄣ
ceng	ㄘㄥ
cha	ㄔㄚ
chai	ㄔㄞ
chan	ㄔㄢ
chang	ㄔㄤ
chao	ㄔㄠ
che	ㄔㄜ
chen	ㄔㄣ
cheng	ㄔㄥ
chi	ㄔ
chong	ㄔㄨㄥ
chou	ㄔㄡ
chu	ㄔㄨ
chua	ㄔㄨㄚ
chuai	ㄔㄨㄞ
chuan	ㄔㄨㄢ
chuang	ㄔㄨㄤ
chui	ㄔㄨㄟ
chun	ㄔㄨㄣ
chuo	ㄔㄨㄛ
ci	ㄘ
cong	ㄘㄨㄥ
cou	ㄘㄡ
cu	ㄘㄨ
cuan	ㄘㄨㄢ
cui	ㄘㄨㄟ
cun	ㄘㄨㄣ
cuo	ㄘㄨㄛ
da	ㄉㄚ
dai	ㄉㄞ
dan	ㄉㄢ
dang	ㄉㄤ
dao	ㄉㄠ
de	ㄉㄜ
dei	ㄉㄟ
den	ㄉㄣ
deng	ㄉㄥ
di	ㄉㄧ
dia	ㄉㄧㄚ
dian	ㄉㄧㄢ
diao	ㄉㄧㄠ
die	ㄉㄧㄝ
din	ㄉㄧㄣ
ding	ㄉㄧㄥ
diu	ㄉㄧㄡ
dong	ㄉㄨㄥ
dou	ㄉㄡ
du	ㄉㄨ
duan	ㄉㄨㄢ
dui	ㄉㄨㄟ
dun	ㄉㄨㄣ
duo	ㄉㄨㄛ
e	ㄜ
ei	ㄟ
en	ㄣ
eng	ㄥ
er	ㄦ
fa	ㄈㄚ
fan	ㄈㄢ
fang	ㄈㄤ
fei	ㄈㄟ
fen	ㄈㄣ
feng	ㄈㄥ
fo	ㄈㄛ
fou	ㄈㄡ
fu	ㄈㄨ
ga	ㄍㄚ
gai	ㄍㄞ
gan	ㄍㄢ
gang	ㄍㄤ
gao	ㄍㄠ
ge	ㄍㄜ
gei	ㄍㄟ
gen	ㄍㄣ
geng	ㄍㄥ
gong	ㄍㄨㄥ
gou	ㄍㄡ
gu	ㄍㄨ
gua	ㄍㄨㄚ
guai	ㄍㄨㄞ
guan	ㄍㄨㄢ
guang	ㄍㄨㄤ
gui	ㄍㄨㄟ
gun	ㄍㄨㄣ
guo	ㄍㄨㄛ
ha	ㄏㄚ
hai	ㄏㄞ
han	ㄏㄢ
hang	ㄏㄤ
hao	ㄏㄠ
he	ㄏㄜ
hei	ㄏㄟ
hen	ㄏㄣ
heng	ㄏㄥ
hm	ㄏㄇ
hong	ㄏㄨㄥ
hou	ㄏㄡ
hu	ㄏㄨ
hua	ㄏㄨㄚ
huai	ㄏㄨㄞ
huan	ㄏㄨㄢ
huang	ㄏㄨㄤ
hui	ㄏㄨㄟ
hun	ㄏㄨㄣ
huo	ㄏㄨㄛ
ji	ㄐㄧ
jia	ㄐㄧㄚ
jian	ㄐㄧㄢ
jiang	ㄐㄧㄤ
jiao	ㄐㄧㄠ
jie	ㄐㄧㄝ
jin	ㄐㄧㄣ
jing	ㄐㄧㄥ
jiong	ㄐㄩㄥ
jiu	ㄐㄧㄡ
ju	ㄐㄩ
jv	ㄐㄩ
juan	ㄐㄩㄢ
jvan	ㄐㄩㄢ
jue	ㄐㄩㄝ
jve	ㄐㄩㄝ
jun	ㄐㄩㄣ
ka	ㄎㄚ
kai	ㄎㄞ
kan	ㄎㄢ
kang	ㄎㄤ
kao	ㄎㄠ
ke	ㄎㄜ
kei	ㄎㄟ
ken	ㄎㄣ
keng	ㄎㄥ
kong	ㄎㄨㄥ
kou	ㄎㄡ
ku	ㄎㄨ
kua	ㄎㄨㄚ
kuai	ㄎㄨㄞ
kuan	ㄎㄨㄢ
kuang	ㄎㄨㄤ
kui	ㄎㄨㄟ
kun	ㄎㄨㄣ
kuo	ㄎㄨㄛ
la	ㄌㄚ
lai	ㄌㄞ
lan	ㄌㄢ
lang	ㄌㄤ
lao	ㄌㄠ
le	ㄌㄜ
lei	ㄌㄟ
leng	ㄌㄥ
li	ㄌㄧ
lia	ㄌㄧㄚ
lian	ㄌㄧㄢ
liang	ㄌㄧㄤ
liao	ㄌㄧㄠ
lie	ㄌㄧㄝ
lin	ㄌㄧㄣ
ling	ㄌㄧㄥ
liu	ㄌㄧㄡ
lo	ㄌㄛ
long	ㄌㄨㄥ
lou	ㄌㄡ
lu	ㄌㄨ
luan	ㄌㄨㄢ
lue	ㄌㄩㄝ
lun	ㄌㄨㄣ
luo	ㄌㄨㄛ
lv	ㄌㄩ
lve	ㄌㄩㄝ
m	ㄇㄨ
ma	ㄇㄚ
mai	ㄇㄞ
man	ㄇㄢ
mang	ㄇㄤ
mao	ㄇㄠ
me	ㄇㄜ
mei	ㄇㄟ
men	ㄇㄣ
meng	ㄇㄥ
mi	ㄇㄧ
mian	ㄇㄧㄢ
miao	ㄇㄧㄠ
mie	ㄇㄧㄝ
min	ㄇㄧㄣ
ming	ㄇㄧㄥ
miu	ㄇㄧㄡ
mo	ㄇㄛ
mou	ㄇㄡ
mu	ㄇㄨ
n	ㄣ
na	ㄋㄚ
nai	ㄋㄞ
nan	ㄋㄢ
nang	ㄋㄤ
nao	ㄋㄠ
ne	ㄋㄜ
nei	ㄋㄟ
nen	ㄋㄣ
neng	ㄋㄥ
ng	ㄣ
ni	ㄋㄧ
nian	ㄋㄧㄢ
niang	ㄋㄧㄤ
niao	ㄋㄧㄠ
nie	ㄋㄧㄝ
nin	ㄋㄧㄣ
ning	ㄋㄧㄥ
niu	ㄋㄧㄡ
nong	ㄋㄨㄥ
nou	ㄋㄡ
nu	ㄋㄨ
nuan	ㄋㄨㄢ
nue	ㄋㄩㄝ
nun	ㄋㄨㄣ
nuo	ㄋㄨㄛ
nv	ㄋㄩ
nve	ㄋㄩㄝ
o	ㄛ
ou	ㄡ
pa	ㄆㄚ
pai	ㄆㄞ
pan	ㄆㄢ
